residential_kw,dc_campus_1_kw,dc_campus_2_kw,dc_campus_3_kw
479.41257960000013,5000.0,8000.0,12000.0
517.9142898,5000.0,8000.0,12000.0
512.9463312,5000.0,8000.0,12000.0
537.7861656000001,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
525.3662484,5000.0,8000.0,12000.0
531.5762070000001,5000.0,8000.0,12000.0
531.5762070000001,5000.0,8000.0,12000.0
535.3021656000001,5000.0,8000.0,12000.0
531.5762070000001,5000.0,8000.0,12000.0
525.3662484,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
539.0281656000001,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
543.9961241999999,5000.0,8000.0,12000.0
542.7541242,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
536.5441656,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
530.3342070000001,5000.0,8000.0,12000.0
542.7541242,5000.0,8000.0,12000.0
553.9320414,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
536.5441656,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
530.3342070000001,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
542.7541242,5000.0,8000.0,12000.0
553.9320414,5000.0,8000.0,12000.0
535.3021656000001,5000.0,8000.0,12000.0
536.5441656,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
546.4800828,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
536.5441656,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
553.9320414,5000.0,8000.0,12000.0
536.5441656,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
546.4800828,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
541.5121242,5000.0,8000.0,12000.0
530.3342070000001,5000.0,8000.0,12000.0
546.4800828,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
535.3021656000001,5000.0,8000.0,12000.0
530.3342070000001,5000.0,8000.0,12000.0
546.4800828,5000.0,8000.0,12000.0
553.9320414,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
552.6900414,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
553.9320414,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
558.9,5000.0,8000.0,12000.0
547.7220828,5000.0,8000.0,12000.0
